feature	source	altcode_implements
agents	cc,codex,altcode	1
backends	altcode	1
clear	cc,codex,altcode	1
compact	cc,codex,altcode	1
compare	altcode	1
context	altcode	1
cost	altcode	1
diff	codex,altcode	1
doctor	altcode	1
exit	cc,codex,altcode	1
help	cc,codex,altcode	1
history	altcode	1
init	cc,codex,altcode	1
mcp	cc,codex,altcode	1
memory	cc,codex,altcode	1
model	cc,codex,altcode	1
plan	codex,altcode	1
plugins	cc,codex,altcode	1
quit	cc,codex,altcode	1
redo	altcode	1
rollback	altcode	1
search	altcode	1
send	altcode	1
sessions	altcode	1
skills	cc,codex,altcode	1
spawn	altcode	1
stats	altcode	1
status	codex,altcode	1
tasks	altcode	1
team	altcode	1
tools	altcode	1
undo	altcode	1
version	altcode	1
wf-cancel	altcode	1
wf-pause	altcode	1
wf-resume	altcode	1
wf-status	altcode	1
workflow	altcode	1
workspace	altcode	1
copy	codex,opencode	0
fork	codex,cc	0
keymap	codex	0
new	codex,cc	0
rename	codex,cc	0
resume	cc,codex	0
review	cc,codex	0
share	opencode,cc	0
stop	codex	0
theme	codex,opencode	0
title	codex	0
vim	codex	0
